Date,Day,Tank,Treatment,Combo,Live1,Dead1,Live2,Dead2,Live3,Dead3,Volume.Counted.ml,Vol.Tripour,Sampled
20160320,Day2,1,pH 7.38,Day 2 pH7.38,173,12,167,9,186,6,0.2,800,20000
20160320,Day2,2,pH 7.00,Day 2 pH7.00,116,3,127,1,135,3,0.2,800,20000
20160320,Day2,3,pH 7.00,Day 2 pH7.00,158,2,147,2,140,2,0.2,800,20000
20160320,Day2,4,pH 7.38,Day 2 pH7.38,135,5,128,3,132,1,0.2,800,20000
20160320,Day2,5,pH 7.38,Day 2 pH7.38,144,1,143,1,144,2,0.2,800,20000
20160320,Day2,6,pH 7.00,Day 2 pH7.00,152,3,146,2,147,3,0.2,800,20000
20160322,Day4,1,pH 7.38,Day 4 pH7.38,3,517,3,517,2,555,0.2,250,20000
20160322,Day4,2,pH 7.00,Day 4 pH7.00,21,168,31,216,25,223,0.2,250,20000
20160322,Day4,3,pH 7.00,Day 4 pH7.00,29,127,22,111,20,106,0.2,400,20000
20160322,Day4,4,pH 7.38,Day 4 pH7.38,5,291,6,288,7,274,0.2,400,20000
20160322,Day4,5,pH 7.38,Day 4 pH7.38,4,265,0,245,1,242,0.2,400,20000
20160322,Day4,6,pH 7.00,Day 4 pH7.00,50,150,46,96,37,129,0.2,400,20000
