Measure.Date,Calib.Date,Tank,Treatment,Temperature,pH.MV,Salinity,TA
20160316,20160314,11,2_Medium,14.78,-28.6,27.3,2060
20160316,20160314,12,3_High,14.64,-11.6,27.3,2060
20160316,20160314,13,1_Ambient,14.11,-57.7,27.3,2060
20160316,20160314,14,2_Medium,14.06,-28.5,27.3,2060
20160316,20160314,15,1_Ambient,14,-57.7,27.3,2060
20160316,20160314,16,3_High,14.28,-11,27.3,2060
20160317,20160317,11,2_Medium,13.86,-29.2,27.4,2060
20160317,20160317,12,3_High,14.12,-10,27.4,2060
20160317,20160317,13,1_Ambient,14.06,-58,27.4,2060
20160317,20160317,14,2_Medium,14,-28.9,27.4,2060
20160317,20160317,15,1_Ambient,14.08,-57.7,27.3,2060
20160317,20160317,16,3_High,14.07,-8.3,27.4,2060
20160319,20160319,11,2_Medium,13.84,-28.2,25.8,2060
20160319,20160319,12,3_High,13.83,-7,25.9,2060
20160319,20160319,13,1_Ambient,13.84,-56.8,26.1,2060
20160319,20160319,14,2_Medium,13.84,-28.7,25.8,2060
20160319,20160319,15,1_Ambient,13.84,-57.1,26.2,2060
20160319,20160319,16,3_High,13.86,-7.8,25.8,2060
