Date & Time,Internal Sensor - Temperature (C),Internal Sensor - Humidity (%RH),Internal Sensor - Heat Index (C),pH-Exp-Treat - Custom Value,pH-Exp-Treat - Volts,ph-Exp-Control - Custom Value,ph-Exp-Control - Volts,Power Sensor,Salinity 1 - Temperature (C),Salinity 1 - Custom Value,Salinity 1 - Volts,Salinity 2 - Temperature (C),Salinity 2 - Custom Value,Salinity 2 - Volts,Salinity 3 - Temperature (C),Salinity 3 - Custom Value,Salinity 3 - Volts,Salinity 4 - Temperature (C),Salinity 4 - Custom Value,Salinity 4 - Volts,Tank 3 - Temperature (C),Tank 6 - Temperature (C),Header 2 - c - Temperature (C),Header 2 - c - Custom Value,Header 2 - c - Volts,Header 1 - tr - Temperature (C),Header 1 - tr - Custom Value,Header 1 - tr - Volts,Switch Sen 1,Switch Sen 2,Switch Sen 3,Switch Sen 4,Switch Sen 5,Switch Sen 6,Switch Sen 7,Switch Sen 8,Switch Sen 9,Switch Sen 10,Switch Sen 11,Switch Sen 12,Switch Sen 13,Switch Sen 14,Switch Sen 15,Switch Sen 16,Relay Output 1 - Relay Output,Relay Output 2 - Relay Output,Light Tower 1,Light Tower 2,WiSH Sensor 5 - Temperature (C),WiSH Sensor 5 - Power,WiSH 5 Ext. 1 - Temperature (C),WiSH 5 Ext. 2,WiSH 5 Switch,WiSH Sensor NW - Temperature (C),WiSH Sensor NW - Power,Reservoir - Temperature (C),Free - Temperature (C),WiSH 1 Switch,WiSH Sensor NE - Temperature (C),WiSH Sensor NE - Power,Header 1 - Temperature (C),Header 2 - Temperature (C),WiSH 6 Switch,WiSH Sensor 7 - Temperature (C),WiSH Sensor 7 - Power,Tank 4 - Temperature (C),Tank 1 - Temperature (C),WiSH 7 Switch,WiSH Ceiling - Temperature (C),WiSH Ceiling - Power,Tank 5 - Temperature (C),Tank 2 - Temperature (C),WiSH 8 Switch
3/18/16 - 12:02:34,21.4,38.43,21.4,7.25,3.9,6.88,3.75,0,24.9,79.8,4.99,25,79.8,4.99,24.1,28.6,2.43,24,27,2.35,13.68,13.71,25.8,7.05,3.82,26.4,7.28,3.91,,,,,,,,,,,,,,,,,0,0,,,,,,,,23,4.7,12.78,12.87,0,21.7,4.68,13.12,13.18,0,23.5,4.7,16.12,13.66,0,26.9,4.71,15.06,13.7,0
3/18/16 - 12:07:43,21.4,38.11,21.4,7.25,3.9,6.88,3.75,0,24.8,79.8,4.99,25.2,79.8,4.99,24.1,28.6,2.43,24,27.8,2.39,13.75,13.71,25.6,6.98,3.79,26.3,7.28,3.91,,,,,,,,,,,,,,,,,0,0,,,,,,,,23.1,4.7,12.72,12.81,0,21.7,4.68,13.12,13.18,0,23.6,4.7,16.31,13.66,0,27.1,4.71,15.18,13.63,0
3/18/16 - 12:13:17,21.4,38.11,21.4,7.25,3.9,6.88,3.75,0,25,79.8,4.99,25.2,79.6,4.98,24.2,28.6,2.43,24.1,28.2,2.41,13.75,13.71,25.7,7,3.8,26.4,7.25,3.9,,,,,,,,,,,,,,,,,0,0,,,,,,,,23,4.7,12.72,12.81,0,21.8,4.68,13.12,13.18,0,23.7,4.7,16.43,13.66,0,27.1,4.71,15.56,13.63,0
3/18/16 - 12:18:26,21.5,38.43,21.5,7.25,3.9,6.88,3.75,0,25,79.8,4.99,25.2,79.6,4.98,24.3,28.6,2.43,24.2,27.6,2.38,13.75,13.71,25.7,7,3.8,26.4,7.28,3.91,,,,,,,,,,,,,,,,,0,0,,,,,,,,23.1,4.71,12.72,12.81,0,21.8,4.67,13.12,13.18,0,23.8,4.7,16.43,14.28,0,27.2,4.71,15.81,13.7,0
3/18/16 - 12:23:39,21.6,38.77,21.6,7.25,3.9,6.88,3.75,0,24.9,79.8,4.99,25.3,79.6,4.98,24.3,28.6,2.43,24.1,27.2,2.36,13.75,13.71,25.8,7,3.8,26.6,7.3,3.92,,,,,,,,,,,,,,,,,0,0,,,,,,,,23.2,4.7,12.72,12.81,0,21.7,4.68,13.12,13.18,0,23.8,4.7,16.31,14.66,0,27.2,4.71,15.81,13.7,0
3/18/16 - 12:29:01,21.6,38.77,21.6,7.25,3.9,6.88,3.75,0,25.1,79.8,4.99,25.3,79.6,4.98,24.3,28.6,2.43,24.2,27.2,2.36,13.75,13.71,25.8,7.02,3.81,27,7.3,3.92,,,,,,,,,,,,,,,,,0,0,,,,,,,,23.2,4.71,12.72,12.75,0,21.7,4.68,13.06,13.18,0,23.7,4.7,16.5,14.78,0,27.2,4.7,16.12,13.7,0
3/18/16 - 12:34:10,21.6,38.77,21.6,7.25,3.9,6.88,3.75,0,25,79.8,4.99,25.5,79.6,4.98,24.3,28.4,2.42,24.2,27.2,2.36,13.75,13.65,25.7,7.08,3.83,26.4,7.3,3.92,,,,,,,,,,,,,,,,,0,0,,,,,,,,23.2,4.7,12.72,12.81,0,21.7,4.68,13.06,13.18,0,23.8,4.71,16.68,14.91,0,27.3,4.71,16.37,13.7,0
3/18/16 - 12:39:19,21.7,38.77,21.7,7.23,3.89,6.88,3.75,0,25,79.8,4.99,25.4,79.6,4.98,24.3,28.6,2.43,24.2,27,2.35,13.75,13.65,25.6,7.05,3.82,26.8,7.3,3.92,,,,,,,,,,,,,,,,,0,0,,,,,,,,23.3,4.7,12.72,12.75,0,21.9,4.68,13.06,13.18,0,23.9,4.72,16.81,15.03,0,27.4,4.71,16.5,13.7,0
3/18/16 - 12:44:55,21.6,38.77,21.6,7.25,3.9,6.9,3.76,0,25.1,79.8,4.99,25.4,79.8,4.99,24.5,28.4,2.42,24.3,26.4,2.32,13.75,13.65,25.7,7.08,3.83,26.8,7.32,3.93,,,,,,,,,,,,,,,,,0,0,,,,,,,,23.3,4.7,12.66,12.81,0,22,4.68,13.06,13.12,0,24,4.72,16.87,15.1,0,27.5,4.71,16.62,13.7,0
3/18/16 - 12:50:04,21.5,38.77,21.5,7.23,3.89,6.88,3.75,0,25.2,79.8,4.99,25.4,79.6,4.98,24.5,28.6,2.43,24.2,27,2.35,13.75,13.65,25.8,7,3.8,26.7,7.32,3.93,,,,,,,,,,,,,,,,,0,0,,,,,,,,23.4,4.7,12.66,12.75,0,22.1,4.68,13.06,13.12,0,23.9,4.72,16.93,15.28,0,27.5,4.71,16.68,15.51,0
